English,Bulgarian
word,дума
you,Вие
I,аз
the,на
to,да се
it,то
that,че
and,и
n't,не
n't,не
of,на
do,направи
is,е
in,в
what,Какво
we,ние
me,аз
this,това
he,той
for,за
on,На
my,моя
have,имат
your,Вашият
no,не
was,беше
m,м
not,не
are,са
re,повторно
be,бъда
know,зная
with,с
all,всичко
but,но
just,просто
so,така
here,тук
there,там
they,те
get,получавам
like,като
did,Направих
go,отивам
right,точно
she,тя
can,мога
out,навън
if,ако
up,нагоре
about,относно
him,него
got,има
at,при
now,сега
one,един
come,идвам
yeah,да
how,как
well,добре
her,нея
want,искам
will,ще
think,мисля
good,добре
see,виж
let,позволявам
who,кой
as,като
why,защо
from,от
his,неговият
would,би се
okay,добре
yes,да
when,кога
going,отивам
back,обратно
time,време
us,нас
look,виж
were,бяха
them,тях
where,където
could,бих могъл
take,предприеме
man,мъж
been,беше
hey,Хей
or,или
had,имаше
then,тогава
tell,казвам
our,нашият
some,някои
say,казвам
need,трябва
really,наистина ли
down,надолу
something,нещо
has,има
way,начин
more,повече
too,също
make,направи
never,никога
does,прави
should,Трябва
over,над
little,малко
very,много
people,хората
please,Моля те
sorry,съжалявам
off,изключено
only,само
because,защото
mean,означава
give,дайте
said,казах
two,две
love,любов
thank,благодаря
am,сутринта
any,всякакви
doing,правейки
thing,нещо
sure,сигурен
even,дори
much,много
help,помогне
uh,ъъъ
these,тези
god,Бог
sir,господине
find,намирам
into,в
anything,нещо
still,все още
first,първи
life,живот
nothing,Нищо
day,ден
wait,изчакайте
work,работа
maybe,може би
stop,Спри се
call,обадете се
before,преди
again,отново
their,техен
must,трябва да
put,слагам
talk,говоря
than,отколкото
night,нощ
other,друго
away,далеч
thought,мисъл
home,У дома
Mr.,Г-н.
after,след
great,страхотен
those,тези
last,последно
keep,пазя
better,По-добре
told,каза
long,дълго
new,нов
everything,всичко
things,нещата
always,винаги
name,име
around,наоколо
guy,човек
ever,някога
years,години
old,стар
guys,момчета
leave,напускам
money,пари
place,място
father,баща
made,направени
feel,Усещам
big,голям
believe,вярвам
done,Свършен
fine,глоба
through,през
nice,хубаво
stay,престой
three,три
every,всеки
coming,идва
lot,много
hello,Здравейте
which,който
girl,момиче
someone,някой
kind,мил
shit,мамка му
kill,убивам
thanks,Благодаря
left,наляво
listen,слушам
house,къща
hear,чувам
world,свят
wanted,издирва се
bad,лошо
enough,достатъчно
wrong,грешно
may,може
happened,се случи
fuck,мамка му
being,същество
might,"биха могли, може"
course,курс
understand,разбирам
remember,помня
dad,татко
dead,мъртъв
ok,Добре
another,друг
hell,по дяволите
came,дойде
mother,майка
own,собствен
talking,говорене
ask,питам
fucking,шибан
son,син
looking,гледам
else,друго
today,днес
